Item ID,Mission ID,Type,Title,Description,Agent,Priority,Impact Score,Confidence %,Approval Req,Status,Data Source
blg_78aa41f6ffa1,mis_dog_food_authority,content_brief,Content Brief: Dog Food Hub Page,Central hub page organising all dog food sub-content with topical navigation and authority signals.,social_agent,high,Confidence-weighted impact score: 2.91/10,61.0,none,pending,LIVE DATA
blg_bf1e0f5ecdc8,mis_dog_food_authority,content_brief,Content Brief: Best Dry Dog Food UK,"Comparison page with evidence-backed rankings, methodology, and affiliate integration.",seo_agent,low,Confidence-weighted impact score: 9.1/10,89.8,none,pending,SIMULATED SCENARIO
blg_e631bc3f7810,mis_dog_food_authority,content_brief,Content Brief: Best Wet Dog Food UK,Comparison of top wet dog food brands with nutritional analysis and testing evidence.,engagement_agent,medium,Confidence-weighted impact score: 2.94/10,90.4,none,pending,SIMULATED SCENARIO
blg_a4fe9da8e884,mis_dog_food_authority,content_brief,Content Brief: Best Puppy Food UK,Age-specific guide with growth-stage recommendations and vet references.,content_agent,high,Confidence-weighted impact score: 2.38/10,46.3,none,pending,MODELLED FORECAST
blg_c27af0338340,mis_dog_food_authority,content_brief,Content Brief: Best Senior Dog Food UK,Senior nutrition guide with health condition considerations and product comparisons.,seo_agent,high,Confidence-weighted impact score: 4.93/10,64.3,none,pending,SIMULATED SCENARIO
blg_ddf54f52db95,mis_dog_food_authority,content_brief,Content Brief: Dog Food Ingredient Guide UK,"Educational deep-dive into ingredients, benefits, and red flags.",affiliate_agent,medium,Confidence-weighted impact score: 2.99/10,59.3,none,pending,LIVE DATA
blg_c4e5b554f68d,mis_dog_food_authority,content_brief,Content Brief: Dry vs Wet Dog Food UK,Direct comparison with structured evidence answering the top dog food question.,product_research_agent,medium,Confidence-weighted impact score: 6.38/10,55.7,none,pending,SIMULATED SCENARIO
blg_05a1cbf7ca37,mis_dog_food_authority,content_brief,Content Brief: Sensitive Stomach Dog Food UK,Specialist guide for dogs with dietary sensitivities with vet-backed recommendations.,affiliate_agent,high,Confidence-weighted impact score: 8.84/10,52.7,none,pending,SIMULATED SCENARIO
blg_0a596b56a41a,mis_dog_food_authority,internal_linking_proposal,Dog Food Cluster Internal Linking Map,"All internal links between hub, sub-pages, and cross-cluster connections.",affiliate_agent,medium,Confidence-weighted impact score: 4.68/10,61.4,none,pending,SIMULATED SCENARIO
blg_0468a8d49ca2,mis_dog_food_authority,metadata_proposal,Dog Food Metadata Optimisation Pack,"Titles, descriptions, OG tags for all 8 pages targeting primary keywords.",manager_agent,medium,Confidence-weighted impact score: 8.82/10,85.8,none,pending,ESTIMATED / PROXY SCORE
blg_939ea789a77b,mis_dog_food_authority,schema_proposal,Dog Food Schema Markup Package,"FAQ, Product, HowTo schema for all pages to maximise SERP features.",manager_agent,low,Confidence-weighted impact score: 3.58/10,59.3,none,pending,SIMULATED SCENARIO
blg_ae5c2143c23e,mis_dog_food_authority,evidence_requirement,Dog Food Testing Methodology Documentation,Document testing and evaluation methodology for all recommendations.,engagement_agent,low,Confidence-weighted impact score: 8.87/10,67.9,none,pending,MODELLED FORECAST
blg_defa1358fe01,mis_dog_food_authority,evidence_requirement,Ingredient Analysis Source References,Compile and verify all nutritional and ingredient data sources.,content_agent,medium,Confidence-weighted impact score: 3.55/10,75.2,none,pending,SIMULATED SCENARIO
blg_74a8a0ffa56e,mis_dog_food_authority,affiliate_placement_review,Dog Food Affiliate Integration Review,Optimise affiliate placement for compliance and conversion across all pages.,engagement_agent,low,Confidence-weighted impact score: 8.74/10,55.0,none,pending,SIMULATED SCENARIO
blg_223abfe444e6,mis_dog_food_authority,product_research_task,Dog Food Product Freshness Audit,"Verify all recommended products are available, correctly priced, not discontinued.",analytics_agent,critical,Confidence-weighted impact score: 4.16/10,51.3,none,pending,ESTIMATED / PROXY SCORE
blg_56bc36c4def4,mis_dog_harness_commercial,content_brief,Dog Harness Hub/Guide,Hub page covering all harness types with navigation to comparison pages.,seo_agent,low,Confidence-weighted impact score: 6.41/10,50.3,none,pending,LIVE DATA
blg_65200c6c451d,mis_dog_harness_commercial,content_brief,Best Dog Harnesses UK,Comprehensive comparison with testing evidence and ranked recommendations.,analytics_agent,high,Confidence-weighted impact score: 8.67/10,66.8,none,pending,MODELLED FORECAST
blg_d322c5cec2f0,mis_dog_harness_commercial,content_brief,Best No Pull Dog Harnesses UK,Focused guide on no-pull harnesses with fit and training advice.,social_agent,low,Confidence-weighted impact score: 7.42/10,87.4,none,pending,SIMULATED SCENARIO
blg_fdab1f44e452,mis_dog_harness_commercial,content_brief,Best Harnesses for Small Dogs,Size-specific guide for small breed harness recommendations.,analytics_agent,high,Confidence-weighted impact score: 9.27/10,86.3,none,pending,MODELLED FORECAST
blg_94a7947ef356,mis_dog_harness_commercial,content_brief,Best Harnesses for Large Dogs,Large breed guide with durability focus and fit considerations.,engagement_agent,medium,Confidence-weighted impact score: 9.3/10,46.3,none,pending,SIMULATED SCENARIO
blg_ec4a6472d7de,mis_dog_harness_commercial,content_brief,Puppy Harness Guide,Age-specific puppy harness guide with growth considerations.,manager_agent,low,Confidence-weighted impact score: 2.21/10,92.7,none,pending,LIVE DATA
blg_174fbe232023,mis_dog_harness_commercial,evidence_requirement,Harness Testing Protocol Documentation,"Document fit, comfort, and durability testing methodology.",product_research_agent,high,Confidence-weighted impact score: 5.4/10,66.8,none,pending,LIVE DATA
blg_b1e61f285564,mis_dog_harness_commercial,internal_linking_proposal,Harness Cluster Internal Link Map,"Internal links between hub, comparison pages, and breed-specific content.",manager_agent,high,Confidence-weighted impact score: 2.6/10,63.7,none,pending,ESTIMATED / PROXY SCORE
blg_c605d9d660be,mis_dog_harness_commercial,metadata_proposal,Harness Pages Metadata Pack,"Optimised titles, descriptions, OG tags for all harness pages.",content_agent,critical,Confidence-weighted impact score: 6.17/10,56.1,none,pending,SIMULATED SCENARIO
blg_5b16cfa317b4,mis_dog_harness_commercial,schema_proposal,Harness Product Schema,Product and FAQ schema for all harness comparison pages.,content_agent,critical,Confidence-weighted impact score: 2.33/10,87.6,none,pending,MODELLED FORECAST
blg_b0be8f99b8b6,mis_dog_harness_commercial,affiliate_placement_review,Harness Affiliate Integration Plan,Map affiliate links to top products per category with compliant CTAs.,affiliate_agent,medium,Confidence-weighted impact score: 8.12/10,88.0,none,pending,SIMULATED SCENARIO
blg_cdb51ce7be77,mis_dog_harness_commercial,product_research_task,Harness Product Availability Check,"Verify all recommended harnesses are in stock, correctly priced, and still manufactured.",engagement_agent,critical,Confidence-weighted impact score: 4.65/10,72.3,none,pending,SIMULATED SCENARIO
blg_dde1154f92bc,mis_pet_insurance_trust,content_brief,Pet Insurance Hub Page Brief,Hub page structure with regulatory disclaimers and editorial independence statement.,analytics_agent,critical,Confidence-weighted impact score: 5.65/10,68.0,red,pending,SIMULATED SCENARIO
blg_a5ec551d0902,mis_pet_insurance_trust,content_brief,What Pet Insurance Covers Guide Brief,Informational guide covering standard coverage types with source-attributed data.,affiliate_agent,critical,Confidence-weighted impact score: 8.5/10,62.8,red,pending,ESTIMATED / PROXY SCORE
blg_446832476171,mis_pet_insurance_trust,content_brief,Dog Insurance UK Brief,Dog-specific insurance information with breed considerations and compliance-reviewed content.,social_agent,critical,Confidence-weighted impact score: 8.58/10,91.7,red,pending,MODELLED FORECAST
blg_17fd8850b51f,mis_pet_insurance_trust,content_brief,Cat Insurance UK Brief,Cat-specific insurance information with indoor/outdoor considerations.,seo_agent,critical,Confidence-weighted impact score: 7.53/10,90.2,red,pending,ESTIMATED / PROXY SCORE
blg_31f379558c4a,mis_pet_insurance_trust,content_brief,Pet Insurance Comparison Guide Brief,Comparison methodology and framework ensuring no misleading claims.,analytics_agent,critical,Confidence-weighted impact score: 8.94/10,73.6,red,pending,LIVE DATA
blg_eca48d0232fd,mis_pet_insurance_trust,trust_signal_improvement,Trust and Disclaimer Framework,"Disclaimer templates, editorial independence statement, compliance review process.",content_agent,critical,Confidence-weighted impact score: 6.77/10,47.6,red,pending,MODELLED FORECAST
blg_860988760a63,mis_pet_insurance_trust,metadata_proposal,Insurance Pages Metadata Pack,Compliance-reviewed metadata avoiding regulated commercial terms.,engagement_agent,critical,Confidence-weighted impact score: 2.17/10,72.7,red,pending,MODELLED FORECAST
blg_b206049cf9cc,mis_pet_insurance_trust,schema_proposal,Insurance FAQ Schema,FAQ schema with compliance-approved answers to common questions.,analytics_agent,critical,Confidence-weighted impact score: 2.37/10,60.5,red,pending,LIVE DATA
blg_ac38df669278,mis_pet_insurance_trust,evidence_requirement,FCA Compliance Documentation,Document FCA regulatory requirements applicable to pet insurance content.,content_agent,critical,Confidence-weighted impact score: 7.09/10,71.8,red,pending,MODELLED FORECAST
blg_e11a2b716357,mis_pet_insurance_trust,evidence_requirement,Source Attribution Registry,Verified source registry for all insurance-related claims and data points.,seo_agent,critical,Confidence-weighted impact score: 3.74/10,54.3,red,pending,ESTIMATED / PROXY SCORE
blg_39714086bab1,mis_pet_insurance_trust,internal_linking_proposal,Insurance Cluster Linking Plan,Safe internal linking structure that does not imply commercial recommendation.,seo_agent,critical,Confidence-weighted impact score: 3.68/10,45.3,red,pending,MODELLED FORECAST
blg_96bc1abb744d,mis_pet_insurance_trust,customer_journey_improvement,Insurance Decision Guide UX,Design the 'Do I need pet insurance?' decision flow with disclaimers.,social_agent,critical,Confidence-weighted impact score: 8.96/10,52.3,red,pending,MODELLED FORECAST
blg_f44a804c2a2d,mis_cat_toys_recovery,refresh_recommendation,Refresh Cat Toys Page,"Update products, remove discontinued items, refresh evidence sections.",social_agent,high,Confidence-weighted impact score: 6.83/10,79.3,none,pending,SIMULATED SCENARIO
blg_2d1b4cc3c2a3,mis_cat_toys_recovery,content_brief,Comparison Support,Interactive comparison table with current products and pricing.,seo_agent,medium,Confidence-weighted impact score: 8.52/10,70.5,none,pending,ESTIMATED / PROXY SCORE
